Simulation	B	(B_variance)^(1/2)	Tvalue
446	-0.00154017	0.00532639	-0.289157
447	0.00173836	0.00511359	0.339949
448	0.00153578	0.00507001	0.302915
449	-0.00164941	0.00486362	-0.339133
450	-0.000827413	0.00479758	-0.172465
451	-0.000949548	0.00473182	-0.200673
452	-0.00123518	0.00446173	-0.276839
453	-0.0010805	0.00427651	-0.252658
454	0.000391516	0.00463812	0.0844128
455	-0.000167849	0.00440613	-0.0380945
456	-0.00153795	0.0048941	-0.314245
457	0.00102873	0.00466747	0.220403
458	-0.00108401	0.00460744	-0.235274
459	-0.00128562	0.00490068	-0.262334
460	-0.000120981	0.0047027	-0.0257259
461	0.00314527	0.00448501	0.701285
462	-0.00013253	0.00503348	-0.0263298
463	-0.00104569	0.00525807	-0.198874
464	-0.000479279	0.00436642	-0.109765
465	0.000616173	0.00466747	0.132014
466	0.000154098	0.00477092	0.0322994
467	7.38221e-005	0.00465137	0.0158711
468	-0.00101346	0.00437432	-0.231685
469	-0.000825148	0.00541927	-0.152262
470	-0.00121676	0.00469854	-0.258966
471	-0.000271729	0.00452568	-0.0600416
472	0.000308161	0.00438265	0.0703139
473	-0.0011987	0.00514271	-0.233088
474	-0.00131101	0.00466845	-0.280823
475	0.00136619	0.00464091	0.29438
476	-0.000832488	0.00542052	-0.153581
477	-0.000880438	0.00473756	-0.185842
478	-0.00127957	0.00446173	-0.286788
479	-0.00107499	0.00435254	-0.246981
480	-0.000305997	0.0047027	-0.0650683
481	0.000962796	0.00492864	0.195347
482	-0.000908831	0.00461628	-0.196875
483	-0.00131484	0.00477092	-0.275595
484	-0.000775081	0.0045595	-0.169992
485	0.00127136	0.00514298	0.247203
486	-0.00125389	0.00464091	-0.270181
487	-0.000458356	0.00437344	-0.104805
488	0.00166365	0.00455665	0.365104
489	0.0044686	0.00504362	0.88599
490	-0.00129439	0.00489645	-0.264353
491	-0.000714839	0.00464091	-0.15403
492	0.00772043	0.00476601	1.61989
493	-0.000934242	0.00449856	-0.207676
494	-0.00141803	0.00492792	-0.287754
495	-0.000705817	0.00438114	-0.161104
496	0.000174322	0.00496379	0.0351188
497	-0.000874183	0.00479603	-0.182272
498	0.00153614	0.00503601	0.305032
499	0.00222485	0.00512962	0.433725
500	-0.00106034	0.00460744	-0.230135
501	-0.000996511	0.00464291	-0.21463
502	-0.000792543	0.00470478	-0.168455
503	-0.00059413	0.00467748	-0.127019
504	-0.000831356	0.00435353	-0.190961
505	-0.00132618	0.00492792	-0.269115
506	8.61693e-006	0.00476225	0.00180942
507	-0.000687344	0.00495177	-0.138808
508	-0.00120724	0.00486362	-0.248219
509	-0.000971693	0.00446671	-0.217541
510	-0.00121836	0.00435353	-0.279855
511	-0.000376551	0.00473756	-0.079482
512	-0.00149137	0.00476831	-0.312767
513	-0.00152565	0.00497603	-0.306599
514	-0.000826217	0.00443964	-0.1861
515	-0.000429708	0.00440681	-0.0975101
516	-4.44344e-005	0.00435649	-0.0101996
517	0.00234336	0.00473075	0.495347
518	-0.000305651	0.00463732	-0.0659111
519	-0.00122921	0.00473076	-0.259834
520	-0.00150412	0.00460979	-0.326289
521	-0.00147175	0.00499733	-0.294508
522	0.000670939	0.00461628	0.145342
523	-0.000549118	0.00507833	-0.10813
524	-0.00178172	0.00473755	-0.376085
525	-0.000439057	0.00492798	-0.0890946
526	-0.000507597	0.00460744	-0.110169
527	0.00382399	0.0049983	0.765058
528	0.000187703	0.0044894	0.0418103
529	-0.0010495	0.00514379	-0.204031
530	0.000996505	0.00449039	0.22192
531	-2.95149e-005	0.00486018	-0.0060728
532	-0.000723213	0.00449256	-0.16098
533	-0.000720705	0.00526094	-0.136992
534	-0.0015065	0.00458497	-0.328573
535	-0.000486726	0.0047027	-0.103499
536	-0.0011585	0.00463692	-0.249842
537	-0.000961858	0.00484311	-0.198603
538	0.00123245	0.00512052	0.240689
539	0.00359959	0.00503358	0.715115
540	-0.000346036	0.00499487	-0.0692783
541	0.000566201	0.00513502	0.110263
542	-0.00154298	0.00503449	-0.306483
543	-0.000957825	0.00514298	-0.186239
544	-0.00127766	0.00489645	-0.260937
545	-0.00072945	0.00467257	-0.156113
546	0.000308822	0.00473522	0.0652181
547	-0.000946239	0.00496281	-0.190666
548	0.00208647	0.00446244	0.467562
549	-0.000534327	0.00496721	-0.107571
550	-0.000416793	0.00460842	-0.0904416
551	-0.00103342	0.00466747	-0.221409
552	-0.000886551	0.00476831	-0.185925
553	0.000500292	0.00440783	0.113501
554	0.000875867	0.00446351	0.196228
555	0.000892637	0.00486201	0.183594
556	-0.00145205	0.00459817	-0.315789
557	-0.000893068	0.00503805	-0.177265
558	0.000104882	0.00486018	0.0215799
559	-0.000670364	0.00441297	-0.151908
560	-0.000527358	0.00499957	-0.105481
561	0.000781425	0.00449256	0.173938
562	0.00321482	0.00452392	0.710628
563	-0.000687525	0.0042965	-0.16002
564	-0.000108849	0.00533865	-0.0203888
565	-0.000962869	0.00473013	-0.203561
566	-0.000275361	0.00446316	-0.0616965
567	-0.00107782	0.0045491	-0.236931
568	-0.000622689	0.00506924	-0.122837
569	-0.00116755	0.00489929	-0.23831
570	-0.00100051	0.00463931	-0.215658
571	-0.000567779	0.00500356	-0.113475
572	-0.00101398	0.00452394	-0.224136
573	-0.000514255	0.00463732	-0.110895
574	0.0014847	0.00419747	0.353713
575	0.000586924	0.00458497	0.12801
576	0.00489319	0.00473007	1.03448
577	-0.00152991	0.00428024	-0.357436
