Simulation	B	(B_variance)^(1/2)	Tvalue
416	-0.00637102	0.00463722	-1.37389
417	0.00210216	0.00511359	0.411092
418	0.00215711	0.00461155	0.467763
419	-0.00693057	0.0048746	-1.42177
420	0.00132575	0.0050406	0.263014
421	0.000867596	0.00425158	0.204065
422	-0.00131484	0.00469978	-0.279766
423	0.00212801	0.00448983	0.473962
424	0.000127221	0.00486018	0.0261761
425	0.00202853	0.00428024	0.473929
426	-0.00196871	0.00496232	-0.396731
427	-0.0036638	0.00462635	-0.791941
428	0.00234943	0.0049315	0.476414
429	-0.0011478	0.00467482	-0.245527
430	0.00169107	0.0046604	0.362859
431	0.00223936	0.00460841	0.485929
432	-0.00155513	0.0052189	-0.297981
433	0.00049268	0.00449619	0.109577
434	0.00161385	0.00464532	0.347414
435	-0.00124097	0.0045595	-0.272172
436	0.000931129	0.00489411	0.190255
437	0.00140218	0.00499733	0.280585
438	0.0020643	0.00460841	0.447942
439	-0.00304311	0.00451838	-0.673497
440	0.00218537	0.00455211	0.480079
441	-0.000682963	0.00449039	-0.152094
442	0.00212132	0.00501333	0.423135
443	0.00225873	0.00460743	0.490237
444	-0.000224995	0.00468799	-0.0479938
445	-0.0111166	0.00487095	-2.28222
446	0.00237553	0.00532638	0.445993
447	-0.00246919	0.00511359	-0.482868
448	-0.00191927	0.00507001	-0.378554
449	0.00240173	0.00486361	0.493816
450	0.00125991	0.00479758	0.262614
451	0.00145321	0.00473182	0.307114
452	0.00198283	0.00446173	0.444409
453	0.00204655	0.0042765	0.478558
454	-0.000322221	0.00463812	-0.0694724
455	-0.000547179	0.00440613	-0.124186
456	0.00228573	0.0048941	0.467038
457	-0.00192059	0.00466747	-0.411485
458	0.00227299	0.00460743	0.493331
459	0.00173842	0.00490067	0.35473
460	-0.000287151	0.0047027	-0.0610609
461	-0.00609093	0.00448495	-1.35808
462	0.000799752	0.00503347	0.158887
463	0.00248607	0.00525806	0.472812
464	0.000920591	0.00436642	0.210834
465	-0.00122005	0.00466747	-0.261395
466	0.000524627	0.00477092	0.109963
467	-5.62264e-005	0.00465137	-0.0120881
468	0.00194147	0.00437431	0.443834
469	0.00243645	0.00541926	0.449591
470	0.00188125	0.00469853	0.400391
471	0.000807062	0.00452568	0.17833
472	2.38677e-005	0.00438265	0.00544595
473	0.00156607	0.00514271	0.304523
474	0.00130441	0.00466845	0.27941
475	-0.00272644	0.0046409	-0.587482
476	0.00121626	0.00542052	0.22438
477	0.00146485	0.00473755	0.309199
478	0.00205188	0.00446173	0.459884
479	0.00193527	0.00435254	0.44463
480	0.000354364	0.0047027	0.0753534
481	-0.0019552	0.00492863	-0.396701
482	0.00126263	0.00461628	0.273518
483	0.00239584	0.00477091	0.502177
484	0.00194762	0.0045595	0.427158
485	-0.00339907	0.00514296	-0.660918
486	0.0021302	0.0046409	0.459005
487	0.000556238	0.00437344	0.127186
488	-0.00290922	0.00455664	-0.638456
489	-0.00795325	0.00504352	-1.57692
490	0.00234497	0.00489644	0.478912
491	0.00116054	0.00464091	0.250067
492	-0.0143662	0.00476567	-3.01453
493	0.0012376	0.00449855	0.27511
494	0.00248393	0.00492791	0.504052
495	0.00218415	0.00438113	0.498536
496	-0.000689154	0.00496379	-0.138836
497	0.000996433	0.00479603	0.207762
498	-0.00236219	0.005036	-0.469061
499	-0.00445894	0.00512959	-0.869258
500	0.00145668	0.00460744	0.316158
501	0.00144367	0.00464291	0.31094
502	0.00151596	0.00470478	0.322217
503	0.0013585	0.00467748	0.290435
504	0.00140092	0.00435353	0.32179
505	0.00253951	0.00492791	0.515331
506	-0.000162144	0.00476225	-0.0340477
507	0.00129355	0.00495177	0.26123
508	0.00232941	0.00486361	0.478947
509	0.00147264	0.00446671	0.329693
510	0.00195147	0.00435352	0.448252
511	0.000169538	0.00473756	0.0357859
512	0.00208445	0.00476831	0.437146
513	0.0025189	0.00497602	0.506208
514	0.00214412	0.00443963	0.48295
515	0.000928723	0.00440681	0.210747
516	0.000119419	0.00435649	0.0274118
517	-0.00474866	0.00473071	-1.00379
518	0.000692203	0.00463732	0.149268
519	0.00185183	0.00473076	0.391444
520	0.0020519	0.00460978	0.445118
521	0.00226722	0.00499732	0.453687
522	-0.00187315	0.00461627	-0.405771
523	0.00230445	0.00507832	0.453782
524	0.00209267	0.00473755	0.44172
525	0.000745901	0.00492798	0.15136
526	0.00163296	0.00460744	0.354419
527	-0.00796936	0.00499819	-1.59445
528	-0.00098841	0.00448939	-0.220166
529	0.00259203	0.00514378	0.503915
530	-0.00134078	0.00449038	-0.298589
531	0.00110422	0.00486018	0.227198
532	0.001739	0.00449255	0.387084
533	0.00211036	0.00526093	0.401137
534	0.00231065	0.00458496	0.503962
535	0.00018036	0.0047027	0.0383524
536	0.00244391	0.0046369	0.527057
537	0.00200277	0.00484311	0.41353
538	-0.000871051	0.00512052	-0.17011
539	-0.00653093	0.00503352	-1.29749
540	0.000972222	0.00499487	0.194644
541	-0.000777459	0.00513502	-0.151403
542	0.00247272	0.00503448	0.491157
543	0.00105057	0.00514298	0.204273
544	0.00245998	0.00489644	0.502402
545	0.000842388	0.00467257	0.180284
546	-0.000339655	0.00473522	-0.0717294
547	0.00164463	0.00496281	0.331391
548	-0.00453902	0.0044624	-1.01717
549	0.00256039	0.00496719	0.515461
550	0.00119783	0.00460842	0.259922
551	0.00178568	0.00466747	0.38258
552	0.00232233	0.0047683	0.487035
553	-0.000732661	0.00440783	-0.166218
554	-0.00199752	0.0044635	-0.447523
555	-0.00180789	0.00486201	-0.37184
556	0.00187403	0.00459817	0.40756
557	0.00260124	0.00503804	0.51632
558	0.000841931	0.00486018	0.17323
559	0.00170245	0.00441296	0.385784
560	0.000929141	0.00499957	0.185844
561	-0.00131403	0.00449256	-0.29249
562	-0.00553556	0.00452387	-1.22364
563	0.00120885	0.00429649	0.281358
564	0.000428023	0.00533865	0.0801743
565	0.00214676	0.00473012	0.45385
566	-0.000316074	0.00446316	-0.0708184
567	0.00220891	0.00454909	0.485571
568	0.00100648	0.00506924	0.198547
569	0.00238001	0.00489928	0.485787
570	0.00209727	0.0046393	0.452065
571	0.00142554	0.00500356	0.284905
572	0.00151121	0.00452394	0.334047
573	0.00195955	0.00463731	0.422562
574	-0.00202921	0.00419747	-0.483437
575	-0.00119016	0.00458497	-0.259579
576	-0.00927068	0.00472993	-1.96
577	0.00216203	0.00428024	0.50512
578	-0.000533295	0.00493943	-0.107967
579	0.00193891	0.00461155	0.420446
580	-0.0012664	0.00559068	-0.22652
